2.016	17,2	2.343	19,9	116,22	0,59
5.227	17,9	4.684	16,1	89,61	0,52
440	17,4	470	18,6	106,82	0,56
3.862	19,4	2.951	14,8	76,41	0,52
19.109	16,5	20.279	17,5	106,12	0,51
1.329	17,9	1.102	14,9	82,92	0,49
1.373	16,0	1.597	18,6	116,31	0,53
3.768	20,1	2.800	15,0	74,31	0,54
7.995	17,9	6.218	14,0	77,77	0,47
3.257	19,4	2.275	13,5	69,85	0,49
3.259	19,9	2.164	13,2	66,40	0,49
2.530	20,8	1.944	15,9	76,84	0,58
1.729	21,7	952	11,9	55,06	0,51
3.156	18,0	2.766	15,8	87,64	0,51
1.208	20,0	831	13,8	68,79	0,51
5.654	21,2	3.287	12,3	58,14	0,50
3.434	20,3	2.803	16,6	81,62	0,59
4.512	19,3	3.128	13,4	69,33	0,48
1.009	17,6	877	15,3	86,92	0,49
948	19,5	811	16,6	85,55	0,56
724	18,4	615	15,6	84,94	0,52
13.635	20,2	7.627	11,3	55,94	0,46
1.057	15,0	1.582	22,4	149,67	0,60
51.686	22,1	24.067	10,3	46,56	0,48
6.380	19,0	4.629	13,8	72,55	0,49
1.578	19,3	1.162	14,2	73,64	0,50
357	16,5	392	18,2	109,80	0,53
15.486	19,6	12.143	15,3	78,41	0,54
26.943	21,4	13.439	10,7	49,88	0,47
3.994	18,4	3.588	16,5	89,83	0,54
5.384	16,8	5.336	16,7	99,11	0,50
85.507	21,4	41.630	10,4	48,69	0,47
275	16,1	361	21,1	131,27	0,59
1.812	16,5	2.098	19,1	115,78	0,55
1.895	22,0	931	10,8	49,13	0,49
5.637	21,4	3.865	14,7	68,56	0,57
321	15,6	443	21,5	138,01	0,59
1.414	16,6	1.594	18,7	112,73	0,55
7.031	15,8	8.446	19,0	120,13	0,53
2.058	17,1	2.340	19,4	113,70	0,57
1.676	18,2	1.152	12,5	68,74	0,44
1.209	19,4	1.125	18,0	93,05	0,60
3.652	24,4	2.079	13,9	56,93	0,62
3.311	19,6	2.091	12,4	63,15	0,47
554	16,3	547	16,1	98,74	0,48
420	17,4	429	17,8	102,14	0,54
60.934	23,3	25.128	9,6	41,24	0,49
14.206	21,4	7.998	12,0	56,30	0,50
497	16,2	584	19,1	117,51	0,55
4.216	22,0	1.647	8,6	39,07	0,44
7.200	17,0	7.176	16,9	99,67	0,51
1.019	22,0	553	11,9	54,27	0,51
2.008	18,6	1.401	13,0	69,77	0,46
518	19,5	377	14,2	72,78	0,51
1.337	16,4	1.542	19,0	115,33	0,55
1.995	21,0	1.322	13,9	66,27	0,54
2.930	18,9	2.684	17,3	91,60	0,57
879	15,8	1.168	21,0	132,88	0,58
10.314	15,7	12.564	19,1	121,82	0,53
290	17,9	296	18,2	102,07	0,57
41.262	22,2	17.780	9,6	43,09	0,47
238	14,6	363	22,3	152,52	0,59
