216	395
19	17
174	330
78	49
129	155
39	46
48	27
324	445
23	41
20	28
42	57
118	181
27	38
63	89
35	75
181	167
12	22
15	52
1.517	907
156	245
85	94
409	393
47	26
589	732
95	560
20	55
15	47
580	577
25	66
273	545
179	114
2.241	2.321
211	188
26	24
30	73
16	20
1.616	1.551
788	857
7	13
61	76
50	44
43	82
40	54
424	297
791	552
8	18
780	870
1.224	953
96	144
33	43
43	104
575	1.039
207	120
3	10
70	86
133	117
20	15
53	105
241	193
229	208
11	40
180	192
1.122	1.564
192	430
2.498	1.778
191	170
420	480
2.964	2.997
789	757
13	27
94	136
500	300
31	86
626	1.211
392	331
160	153
80	99
96	101
332	308
179	127
5	35
4	14
15	24
84	103
12	11
693	1.327
1.965	1.564
20	42
13	34
198	197
215	170
188	221
97	382
26	51
34	47
393	325
697	952
222	302
132	272
127	159
15	24
869	437
8	17
244	314
538	618
36	58
308	362
22	78
7.433	6.802
698	565
478	625
34	65
233	126
15	12
178	464
25	28
20	42
722	911
92	220
365	420
1.584	1.501
2.784	1.911
149	265
232	562
36	27
188	253
1.097	1.029
34	40
120	54
102	232
184	193
84	155
87	82
75	125
28	57
130	243
68	60
205	308
80	206
132	94
21	46
42	110
28	22
603	510
119	94
1.982	1.759
346	380
40	61
13	25
428	730
1.027	1.144
377	374
173	185
4.801	4.065
9	19
73	194
24	38
158	248
11	51
37	46
254	529
123	124
69	53
69	77
248	281
191	98
8	23
12	19
2.007	1.478
1.021	717
4	15
83	108
283	419
28	48
32	49
4	14
51	85
58	77
119	301
36	37
480	753
6	7
1.200	1.313
4	30
19	47
53	135
34	25
2.536	3.388
1.176	1.227
862	776
4	28
64	92
274	442
16	61
14	25
94	216
49	111
20	49
72	66
25	64
239	465
199	141
184	603
36	244
81	89
113	124
17	31
46	75
244	621
314	184
841	915
54	169
262	476
2.917	2.619
10.317	8.236
32	67
13	61
87	129
41	32
1.638	1.321
99	71
58	84
26	55
122	259
127	104
62	78
418	356
872	984
65	69
92	193
144	198
137	189
123	71
483	501
162	89
149	223
319	244
1.816	1.222
37	64
25	69
