648	961	3585	323	681	2753	280	609	2947
6	5	17	3	4	13	3	3	14
65	106	166	32	75	127	28	67	136
4	18	55	2	13	42	2	11	45
9	95	352	4	67	270	4	60	289
4	15	18	2	11	14	2	10	15
16	38	92	8	27	71	7	24	76
49	182	548	24	129	421	21	115	450
8	59	178	4	42	137	3	37	146
18	28	90	9	20	69	8	18	74
13	38	63	6	27	48	6	24	52
73	97	189	36	69	145	32	62	155
40	61	145	20	43	111	17	39	119
0	13	28	0	9	22	0	8	23
4	8	29	2	6	22	2	5	24
470	905	2404	234	641	1846	203	574	1976
58	130	457	29	92	351	25	82	376
6	20	16	3	14	12	3	13	13
55	59	211	27	42	162	24	37	173
41	84	424	20	60	326	18	53	348
5	28	36	2	20	28	2	18	30
17	10	66	8	7	51	7	6	54
2	8	16	1	6	12	1	5	13
6	50	111	3	35	85	3	32	91
63	61	138	31	43	106	27	39	113
22	107	245	11	76	188	10	68	201
87	216	678	43	153	521	38	137	557
5	23	44	2	16	34	2	15	36
5	7	17	2	5	13	2	4	14
287	381	1573	143	270	1208	124	242	1293
0	0	7	0	0	5	0	0	6
0	17	30	0	12	23	0	11	25
19	22	62	9	16	48	8	14	51
0	3	14	0	2	11	0	2	12
647	1565	4525	323	1109	3475	280	992	3719
324	660	1472	162	468	1130	140	418	1210
163	369	919	81	261	706	70	234	755
17	13	22	8	9	17	7	8	18
13	14	79	6	10	61	6	9	65
44	104	498	22	74	382	19	66	409
10	35	32	5	25	25	4	22	26
10	4	37	5	3	28	4	3	30
30	58	137	15	41	105	13	37	113
32	30	88	16	21	68	14	19	72
3	20	87	1	14	67	1	13	72
21	23	66	10	16	51	9	15	54
6	18	63	3	13	48	3	11	52
54	242	507	27	171	389	23	153	417
38	87	178	19	62	137	16	55	146
62	108	254	31	77	195	27	68	209
14	82	189	7	58	145	6	52	155
4	25	84	2	18	65	2	16	69
6	40	99	3	28	76	3	25	81
0	0	0	0	0	0	0	0	0
8	25	91	4	18	70	3	16	75
20	156	280	10	111	215	9	99	230
10	64	142	5	45	109	4	41	117
96	182	630	48	129	484	42	115	518
36	74	152	18	52	117	16	47	125
40	109	403	20	77	310	17	69	331
389	817	2527	194	579	1941	168	518	2077
2319	3885	9883	1157	2752	7590	1003	2463	8123
33	44	60	16	31	46	14	28	49
20	26	78	10	18	60	9	16	64
36	65	80	18	46	61	16	41	66
38	62	163	19	44	125	16	39	134
525	620	2105	262	439	1617	227	393	1730
34	57	136	17	40	104	15	36	112
7	32	79	3	23	61	3	20	65
14	21	59	7	15	45	6	13	48
74	105	276	37	74	212	32	67	227
4	116	94	2	82	72	2	74	77
12	21	69	6	15	53	5	13	57
213	344	1030	106	244	791	92	218	847
402	592	1099	201	419	844	174	375	903
16	25	56	8	18	43	7	16	46
13	29	76	6	21	58	6	18	62
42	91	209	21	64	161	18	58	172
60	121	180	30	86	138	26	77	148
39	54	79	19	38	61	17	34	65
72	143	189	36	101	145	31	91	155
62	154	380	31	109	292	27	98	312
20	38	58	10	27	45	9	24	48
90	87	330	45	62	253	39	55	271
284	840	2342	142	595	1799	123	533	1925
7	28	49	3	20	38	3	18	40
7	17	38	3	12	29	3	11	31
7	13	56	3	9	43	3	8	46
16	19	102	8	13	78	7	12	84
31	175	262	15	124	201	13	111	215
11	36	84	5	26	65	5	23	69
0	5	27	0	4	21	0	3	22
47	39	82	23	28	63	20	25	67
32	48	145	16	34	111	14	30	119
22	22	176	11	16	135	10	14	145
11	74	77	5	52	59	5	47	63
22	15	57	11	11	44	10	10	47
72	135	221	36	96	170	31	86	182
63	131	230	31	93	177	27	83	189
27	64	135	13	45	104	12	41	111
10	2	28	5	1	22	4	1	23
216	216	738	108	153	567	93	137	607
19	26	51	9	18	39	8	16	42
558	524	1727	278	371	1326	241	332	1419
273	485	1259	136	344	967	118	308	1035
97	342	878	48	242	674	42	217	722
289	586	2265	144	415	1740	125	372	1862
63	269	868	31	191	667	27	171	713
16	12	61	8	9	47	7	8	50
75	215	464	37	152	356	32	136	381
34	82	230	17	58	177	15	52	189
18	75	185	9	53	142	8	48	152
8	12	27	4	9	21	3	8	22
701	1220	2834	350	864	2177	303	774	2329
134	365	579	67	259	445	58	231	476
30	48	133	15	34	102	13	30	109
102	319	1208	51	226	928	44	202	993
33	179	239	16	127	184	14	114	196
38	22	163	19	16	125	16	14	134
7	14	67	3	10	51	3	9	55
16	31	108	8	22	83	7	20	89
334	637	1583	167	451	1216	144	404	1301
99	197	516	49	140	396	43	125	424
54	237	341	27	168	262	23	150	280
5	19	46	2	13	35	2	12	38
92	160	529	46	113	406	40	101	435
244	456	1728	122	323	1327	106	289	1420
10	27	77	5	19	59	4	17	63
33	22	128	16	16	98	14	14	105
74	123	487	37	87	374	32	78	400
59	125	613	29	89	471	26	79	504
6	32	60	3	23	46	3	20	49
253	287	1269	126	203	975	109	182	1043
48	127	281	24	90	216	21	81	231
47	109	306	23	77	235	20	69	252
238	815	2080	119	577	1597	103	517	1710
3	8	48	1	6	37	1	5	39
17	126	109	8	89	84	7	80	90
12	10	64	6	7	49	5	6	53
111	198	412	55	140	316	48	126	339
6	3	52	3	2	40	3	2	43
3	9	47	1	6	36	1	6	39
290	878	3324	145	622	2553	125	557	2732
36	61	176	18	43	135	16	39	145
48	47	180	24	33	138	21	30	148
100	118	288	50	84	221	43	75	237
10	43	58	5	30	45	4	27	48
62	108	332	31	77	255	27	68	273
13	11	38	6	8	29	6	7	31
7	0	31	3	0	24	3	0	25
78	335	970	39	237	745	34	212	797
50	131	613	25	93	471	22	83	504
330	1010	2605	165	715	2001	143	640	2141
6	25	83	3	18	64	3	16	68
0	150	688	0	106	528	0	95	565
95	126	404	47	89	310	41	80	332
10	9	20	5	6	15	4	6	16
64	140	357	32	99	274	28	89	293
42	88	206	21	62	158	18	56	169
18	5	36	9	4	28	8	3	30
16	50	153	8	35	118	7	32	126
7	12	47	3	9	36	3	8	39
23	13	36	11	9	28	10	8	30
6	5	29	3	4	22	3	3	24
