2169	2	477	14622
3049	2	252	10753
18019	2	245	8191
20610	2	316	7145
22251	2	308	1298
31219	2	625	6595
32056	2	454	8572
32811	2	95	10084
39241	2	578	17050
40109	2	625	11952
40229	2	228	11716
47296	2	625	6595
61445	2	625	6595
63028	2	625	8672
63041	2	625	6595
74646	2	621	13209
77205	2	621	13209
77925	2	136	10449
80731	2	625	6595
81125	2	597	8636
87541	2	316	7145
88602	2	59	12636
89667	2	252	10753
90784	2	341	14161
94167	2	576	12566
94498	2	695	11573
97385	2	536	16183
98044	2	331	695
99236	2	286	1162
99316	2	286	1162
101350	2	508	558
101890	2	550	843
102116	2	351	8252
102238	2	651	5088
107792	2	567	12366
114289	2	268	9414
115355	2	449	6478
120272	2	454	8572
120309	2	454	8572
122650	2	411	11578
124034	2	88	8231
126989	2	263	473
128773	2	333	7034
128991	2	333	7034
129981	2	562	7940
130044	2	562	7940
130450	2	286	1162
130456	2	286	1162
131341	2	312	5125
132593	2	594	7764
137703	2	333	7034
141383	2	75	8354
143153	2	88	8231
144286	2	241	13387
147775	2	562	7976
147883	2	605	12667
148297	2	142	461
149434	2	425	7095
150020	2	679	12844
152022	2	129	9032
152916	2	195	11618
156362	2	669	13643
156625	2	244	4824
160081	2	681	14344
160267	2	79	13375
160355	2	561	8841
165135	2	209	10694
168961	2	266	13028
169011	2	266	13028
169382	2	308	1298
189050	2	452	11859
191613	2	530	1012
193512	2	649	1475
198406	2	617	8586
199296	2	494	744
203559	2	382	12879
206400	2	179	10771
206426	2	179	10771
210718	2	689	13632
215952	2	668	8372
226129	2	100	470
227576	2	429	14591
227578	2	429	14591
227665	2	429	14591
230307	2	109	12939
231183	2	249	13181
232351	2	72	14126
236791	2	249	13181
237063	2	87	8540
239091	2	588	3239
246190	2	529	6757
247737	2	666	14590
247906	2	530	1012
248841	2	134	9671
262733	2	90	12125
262856	2	190	8181
265647	2	338	7893
266843	2	186	14453
267451	2	540	6764
272050	2	274	9773
273066	2	121	11038
275167	2	617	8586
275264	2	617	8586
277776	2	257	7651
277827	2	716	12297
281524	2	324	13850
283258	2	607	5035
284722	2	640	2407
288039	2	175	9037
294609	2	665	14430
295297	2	98	12558
306024	2	649	1475
315502	2	651	5088
323671	2	625	8374
329323	2	651	5088
333169	2	625	8386
334336	2	625	6595
335144	2	432	11279
339388	2	504	11400
339868	2	504	16541
341352	2	530	1012
345037	2	530	1012
345617	2	649	1475
345784	2	481	13606
346519	2	279	14965
349057	2	530	1012
351496	2	417	13135
352244	2	407	706
353873	2	183	14333
355021	2	126	459
356395	2	249	13181
358446	2	562	7940
358492	2	562	7940
358848	2	358	13827
363496	2	169	7656
363796	2	184	14404
364052	2	269	8123
365836	2	329	12317
366151	2	329	12317
376266	2	606	12472
381070	2	2388	15533
381920	2	129	9032
383393	2	460	8496
386441	2	625	8780
386531	2	597	9206
387389	2	612	6353
394936	2	217	13288
400991	2	395	7723
401397	2	395	7723
401736	2	395	7723
403312	2	651	5088
410562	2	489	13708
410606	2	84	2898
415062	2	129	14177
416208	2	291	12963
418693	2	701	13763
423182	2	279	14892
423679	2	294	7075
426376	2	702	3425
430401	2	606	12472
431034	2	253	13757
436198	2	125	12934
438532	2	716	12297
438609	2	716	12297
457400	2	625	8672
459823	2	438	7548
464383	2	625	7821
470662	2	385	10064
472759	2	438	7548
475779	2	110	13720
477673	2	360	1145
486856	2	331	695
487814	2	567	12366
488303	2	374	537
491665	2	279	12744
495537	2	256	16189
496803	2	664	12179
498528	2	360	1145
515339	2	526	14189
515836	2	595	1265
520602	2	690	10714
527284	2	236	11076
535041	2	406	11828
545221	2	791	2565
545274	2	791	2565
545281	2	791	2565
545283	2	791	2565
545437	2	95	10084
546597	2	695	11573
547305	2	370	7333
547655	2	611	14254
553019	2	126	459
558790	2	602	1876
560301	2	186	15805
560587	2	464	8655
568475	2	67	8351
573757	2	669	13643
574688	2	95	10084
583139	2	619	8801
585069	2	74	13954
599223	2	134	9671
606686	2	161	11461
606957	2	161	6856
608478	2	163	12038
622168	2	191	13634
623310	2	203	8618
625093	2	213	1177
630470	2	221	7346
630541	2	221	10605
630639	2	221	13873
631537	2	221	13873
636695	2	176	7151
636824	2	791	2565
641337	2	244	4824
643378	2	250	14057
644894	2	255	7120
645018	2	255	7120
645794	2	255	7120
646139	2	255	7120
646327	2	255	13746
646350	2	255	7120
646408	2	255	11715
648611	2	266	13028
657643	2	279	13915
658986	2	279	13915
662565	2	285	14248
662746	2	286	1162
666544	2	310	8293
666592	2	310	8293
666642	2	791	2565
667697	2	317	887
673242	2	329	12317
678018	2	336	5791
678313	2	339	11882
697443	2	399	13661
697690	2	399	13661
699057	2	403	13379
700044	2	111	13168
700376	2	111	13168
701296	2	411	11578
702123	2	411	11578
702139	2	411	11578
703292	2	411	9007
704148	2	411	11578
706732	2	429	14591
707112	2	541	11225
712935	2	457	13775
713055	2	457	2935
716039	2	468	13598
716696	2	716	12297
721675	2	498	13464
725372	2	505	821
725530	2	505	11306
726254	2	509	8509
726587	2	511	14726
733311	2	541	13503
734047	2	544	12060
735573	2	553	14004
744502	2	585	714
745657	2	594	7764
760194	2	610	7895
762196	2	618	14024
770325	2	583	13451
775982	2	629	12524
780142	2	633	13982
788049	2	650	3903
789050	2	651	5088
789802	2	656	6423
796507	2	679	12844
802543	2	88	8231
804564	2	716	12297
811846	2	161	7308
811934	2	161	6856
812237	2	581	12384
812399	2	168	14335
816906	2	186	14453
819854	2	221	13873
820025	2	221	13873
820349	2	221	10605
820395	2	221	10605
820661	2	221	10605
821345	2	791	2565
821508	2	235	606
824793	2	254	14268
829535	2	279	13915
830948	2	279	11425
833478	2	298	12562
838309	2	325	11830
838823	2	146	7632
841527	2	353	8736
843272	2	371	13310
864597	2	562	7940
864854	2	717	13608
866008	2	207	12856
874772	2	651	5088
880381	2	160	343
887062	2	284	7794
887227	2	323	9070
888415	2	100	470
890347	2	625	6595
890548	2	325	11830
