2012	31	86	182	298
2012	27	83	189	299
2012	12	41	111	163
2012	4	1	23	29
2012	93	137	607	837
2012	8	16	42	67
2012	241	332	1419	1993
2012	118	308	1035	1460
2012	42	217	722	980
2012	125	372	1862	2358
2012	27	171	713	911
2012	7	8	50	65
2012	32	136	381	550
2012	15	52	189	256
2012	8	48	152	207
2012	3	8	22	33
2012	303	774	2329	3406
2012	58	231	476	765
2012	13	30	109	153
2012	44	202	993	1239
2012	14	114	196	324
2012	16	14	134	164
2012	3	9	55	67
2012	7	20	89	115
2012	144	404	1301	1849
2012	43	125	424	592
2012	23	150	280	454
2012	2	12	38	52
2012	40	101	435	576
2012	106	289	1420	1815
2012	4	17	63	85
2012	14	14	105	133
2012	32	78	400	510
2012	26	79	504	609
2012	3	20	49	72
2012	109	182	1043	1334
2012	21	81	231	332
2012	20	69	252	341
2012	103	517	1710	2329
2012	1	5	39	46
2012	7	80	90	177
2012	5	6	53	64
2012	48	126	339	512
2012	3	2	43	47
2012	1	6	39	46
2012	125	557	2732	3414
2012	16	39	145	199
2012	21	30	148	199
2012	43	75	237	355
2012	4	27	48	79
2012	27	68	273	368
2012	6	7	31	44
2012	3	0	25	29
2012	34	212	797	1043
2012	22	83	504	609
2012	143	640	2141	2924
2012	3	16	68	87
2012	0	95	565	661
2012	41	80	332	453
2012	4	6	16	26
2012	28	89	293	410
2012	18	56	169	243
2012	8	3	30	41
2012	7	32	126	164
2012	3	8	39	49
2012	10	8	30	48
2012	3	3	24	30
2012	6	22	159	188
2012	8	23	76	107
2012	4	17	35	56
2012	2	2	24	28
2012	36	97	168	302
2012	54	105	652	810
2012	21	48	129	197
2012	2	9	30	40
2012	11	68	152	231
2012	0	4	35	40
2012	2	11	26	40
2012	187	393	1490	2070
2012	0	3	18	21
2012	18	79	209	306
2012	24	73	397	494
2012	262	823	2848	3933
2012	4	23	31	58
2012	3	16	35	53
2012	1	4	24	29
2012	9	92	135	235
2012	8	45	180	233
2012	16	61	147	224
2012	1	15	14	30
2012	16	50	177	243
2012	54	103	174	332
2012	64	90	510	665
2012	3	15	22	40
2012	30	81	486	596
2012	285	626	2636	3547
2012	90	228	1226	1544
2012	44	134	570	748
2012	0	13	23	36
2012	1	3	21	24
2012	16	77	271	364
2012	9	16	73	98
2012	34	112	398	543
2012	18	22	231	271
2012	17	56	233	306
2012	9	20	48	77
2012	16	11	33	60
2012	56	110	412	578
2012	16	86	267	369
2012	16	44	153	213
2012	5	1	25	32
2012	10	14	40	64
2012	3	0	11	13
2012	3	13	44	59
2012	6	10	40	57
2012	16	16	119	151
2012	1	16	68	86
2012	4	26	85	116
2012	3	6	25	33
2012	0	14	49	63
2012	0	21	58	79
2012	3	11	25	39
2012	1	2	16	18
2012	4	15	115	134
2012	17	53	197	268
2012	3	4	21	27
2012	0	5	19	24
2012	1	10	39	49
2012	4	12	25	41
2012	36	94	429	560
2012	35	84	348	468
2012	6	21	81	108
2012	5	15	44	63
2012	7	15	30	52
2012	21	49	382	452
2012	3	9	30	42
2012	1	9	39	49
2012	3	18	44	65
2012	20	56	290	366
2012	484	1213	4775	6473
2012	0	6	8	14
2012	34	63	159	256
2012	35	185	870	1090
2012	14	37	81	132
2012	4	8	73	85
2012	5	37	66	108
2012	22	56	119	198
2012	15	16	91	122
2012	13	49	110	173
2012	32	55	136	224
2012	15	109	247	370
2012	13	72	261	346
2012	24	62	159	244
2012	2	13	37	51
2012	36	80	245	361
2012	4	25	32	61
2012	9	29	96	134
2012	3	29	58	89
2012	10	32	136	177
2012	1	6	22	29
2012	6	47	112	165
2012	8	21	50	79
2012	22	67	635	724
2012	2	2	18	22
2012	16	37	100	153
2012	37	82	458	577
2012	3	31	57	91
2012	0	3	24	27
2012	20	36	127	182
2012	9	171	616	796
2012	0	8	26	35
2012	12	13	68	93
2012	36	169	495	699
2012	32	112	223	367
2012	17	52	156	225
2012	93	161	350	604
2012	6	13	72	92
2012	105	208	561	874
2012	23	70	345	439
2012	121	212	904	1237
2012	3	27	122	152
2012	12	42	127	182
2012	3	0	17	20
2012	7	27	41	75
2012	29	113	229	372
2012	165	547	2407	3118
2012	16	57	299	372
2012	10	36	146	192
2012	10	67	142	220
2012	21	28	101	150
2012	23	82	168	273
2012	61	101	371	533
2012	2	22	114	138
2012	45	75	219	339
2012	6	14	39	59
2012	3	7	24	33
2012	39	122	761	922
2012	4	29	46	80
2012	5	41	183	229
2012	0	0	35	35
2012	56	119	305	480
2012	6	11	44	62
2012	0	0	25	25
2012	2	13	32	48
2012	17	29	66	111
2012	27	104	398	529
2012	13	120	598	730
2012	87	117	196	401
2012	16	38	168	222
2012	2	3	21	26
2012	4	33	167	204
2012	227	471	1610	2308
2012	3	4	41	49
2012	11	8	30	49
2012	22	39	73	134
2012	43	108	270	421
2012	96	256	1373	1725
2012	27	79	211	318
2012	34	126	364	524
2012	5	10	26	41
2012	6	39	101	146
2012	0	10	17	27
2012	2	17	54	73
2012	4	10	53	66
2012	7	26	71	104
2012	33	37	299	369
2012	3	8	25	36
2012	11	69	181	261
2012	2	13	35	50
2012	51	62	319	432
2012	5	33	86	124
2012	2	18	25	46
2012	11	33	69	113
2012	35	58	202	295
2012	12	25	60	96
2012	3	10	37	50
2012	4	16	17	37
2012	1	29	62	92
2012	74	146	626	846
2012	599	1390	4149	6138
2012	9	19	56	84
2012	3	17	27	48
2012	4	6	59	69
2012	10	22	101	132
2012	69	247	1552	1868
2012	0	30	243	274
2012	22	71	245	338
2012	14	31	54	100
2012	50	72	170	292
2012	3	29	98	130
2012	0	3	30	33
2012	2	10	10	21
2012	8	11	48	67
2012	1	1	3	5
2012	8	18	80	105
2012	31	65	110	206
2012	37	39	185	261
2012	0	4	12	15
2012	4	13	83	100
2012	70	178	1037	1285
2012	44	91	229	365
2012	4	26	75	105
2012	10	20	27	57
2012	12	49	126	186
2012	0	25	58	83
2012	98	387	1818	2303
2012	6	15	89	110
2012	0	2	24	26
2012	6	10	21	37
2012	5	4	16	25
2012	26	44	190	259
2012	32	130	367	529
2012	1	13	56	70
2012	16	47	345	409
2012	9	43	158	210
2012	15	107	466	588
2012	3	25	30	57
2012	4	18	55	77
2012	2	11	17	30
2012	0	5	25	30
2012	93	162	685	940
2012	2	3	29	34
2012	13	45	203	261
2012	3	89	113	205
2012	7	4	21	33
2012	5	82	123	210
2012	426	1197	4323	5946
2012	2	22	58	82
2012	20	57	240	317
2012	11	34	62	106
2012	4	34	82	121
2012	6	35	90	131
2012	0	0	0	0
2012	1	6	44	51
2012	126	422	1973	2521
2012	26	53	126	205
2012	386	1141	4761	6288
2012	67	168	730	965
2012	112	259	1430	1801
2012	1	3	24	28
2012	41	138	630	809
2012	1	2	16	18
2012	0	4	4	8
2012	0	3	25	29
2012	12	149	286	447
2012	11	3	103	117
2012	6	16	44	66
2012	23	81	283	387
2012	224	676	2970	3870
2012	481	1013	4493	5986
2012	17	49	111	177
2012	6	22	147	175
2012	28	73	238	339
2012	32	99	293	424
2012	8862	17162	64324	90347
2012	32	125	330	487
2012	5	37	72	114
2012	44	138	579	762
2012	96	193	622	912
2012	7	25	116	148
2012	3	36	108	147
2012	147	514	1986	2646
2012	4	19	95	118
2012	2	16	53	71
2012	1	23	39	63
2012	17	32	62	111
2012	13	41	295	349
2012	42	101	387	530
2012	26	240	1142	1407
2012	18	38	140	196
2012	6	34	130	171
2012	8	21	60	89
2012	29	188	544	761
2012	441	939	3948	5328
2012	8	4	55	68
2012	116	415	1977	2508
2012	312	531	2119	2962
2012	2	10	27	38
2012	15	19	138	172
2012	12	44	178	234
2012	116	323	1608	2047
2012	3	8	38	50
2012	25	98	261	384
2012	2	18	51	72
2012	5	9	58	71
2012	12	69	90	172
2012	10	86	194	289
2012	4	35	85	124
2012	5	15	122	142
2012	0	8	21	30
2012	22	140	381	544
2012	27	127	252	405
2012	3	5	32	40
2012	6	11	47	64
2012	8	15	113	136
2012	81	239	914	1234
2012	184	538	1798	2521
2012	19	33	58	110
2012	48	75	275	398
2012	7	10	69	86
2012	13	30	405	449
2012	3	8	30	40
2012	0	7	20	27
2012	22	28	98	148
2012	0	0	0	0
2012	12	55	374	441
2012	3	23	66	93
2012	6	5	38	49
2012	31	151	373	555
2012	4	29	142	175
2012	1	2	11	13
2012	2	14	17	33
2012	1	7	30	39
2012	129	258	724	1111
2012	2	9	42	53
2012	2	11	45	58
2012	1	6	21	28
2012	5	22	85	112
2012	0	0	4	4
2012	21	63	169	253
2012	13	49	151	213
2012	61	146	833	1040
2012	8	61	136	205
2012	9	29	70	108
2012	20	140	351	511
2012	28	56	295	379
2012	38	208	892	1138
2012	6	27	36	70
2012	22	83	493	598
2012	17	48	173	238
2012	7	30	81	119
2012	1	5	20	26
2012	55	239	842	1136
2012	51	257	908	1216
2012	1	1	12	15
