4	4	4	2	2	2	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	0	0	166	170	159	-1	-1	-1	549	368	344	25	24	24	19	21	25
3	1	1	2	2	2	1	1	1	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	53	58	54	-1	-1	-1	991	866	798	24	25	25	68	67	69
4	1	1	0	2	2	0	0	0	1	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	-1	7	4	-1	-1	-1	582	529	495	10	12	16	15	20	21
82	108	89	13	13	14	14	15	16	23	30	9	19	19	19	8	8	8	1	1	1	1	1	1	247	215	163	379	403	516	12467	11.536	10.448	1.470	1.542	1.554	1.262	1.372	1.459
14	23	24	4	5	5	8	8	8	4	4	2	9	10	9	2	3	3	1	1	1	0	0	1	577	469	540	-1	68	36	13525	13.803	13.442	797	798	791	819	827	838
3	4	4	2	2	2	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	567	372	323	1	1	6	12	12	13
8	10	6	4	4	3	1	1	1	2	2	2	3	2	2	1	1	1	0	0	0	0	0	0	513	341	175	-1	-1	-1	1201	1.152	1.066	70	68	61	66	67	71
5	5	6	2	2	2	2	0	0	0	0	2	0	1	1	1	1	1	0	0	0	0	0	0	146	39	49	-1	-1	-1	781	740	699	57	52	53	53	50	49
8	8	7	4	4	4	0	0	0	1	2	2	3	1	2	1	1	1	0	0	0	0	0	0	268	301	198	-1	-1	-1	948	796	762	34	35	44	75	75	80
5	9	9	2	2	2	2	2	2	0	2	2	0	0	-1	1	1	1	0	0	0	0	0	0	59	12	22	-1	-1	-1	753	714	591	41	43	38	51	50	57
12	14	21	3	3	3	2	2	2	4	4	2	8	8	8	1	1	1	1	1	1	0	0	0	45	75	9	73	97	69	4046	4.082	3.985	409	428	418	242	262	263
13	18	19	6	6	5	4	2	3	7	10	9	1	1	2	2	2	2	1	1	1	0	0	0	1332	407	149	115	114	109	9109	8.856	8.417	637	675	733	457	481	517
5	6	7	2	2	2	0	1	1	1	2	1	0	0	-1	1	1	1	0	0	0	0	0	0	32	32	49	-1	-1	-1	382	355	344	3	4	7	10	12	13
15	15	14	7	7	7	4	5	5	2	2	2	9	12	9	3	3	3	1	1	1	0	0	0	469	688	790	82	136	75	8913	8.024	7.550	685	729	744	722	751	818
17	17	14	8	6	3	9	9	9	7	6	4	10	10	7	4	4	4	1	1	1	0	1	1	28	39	40	156	163	156	8815	8.331	7.807	1.068	1.114	1.173	765	823	882
4	4	4	3	3	3	3	1	1	1	1	1	2	2	2	1	1	1	0	0	0	0	0	0	112	79	81	-1	-1	-1	975	556	516	91	94	92	120	120	133
5	5	5	3	3	2	1	1	1	0	1	1	0	0	-1	1	1	1	0	0	0	0	0	0	328	271	272	-1	-1	-1	888	743	665	38	38	34	41	39	42
3	4	5	2	2	2	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	-1	115	851	-1	-1	-1	1515	1.223	1.154	52	51	47	100	111	121
19	15	14	6	6	7	10	8	8	3	3	3	11	14	14	2	3	3	1	1	1	0	0	0	1609	109	32	81	51	55	8272	7.794	7.246	502	510	546	974	994	996
7	8	8	3	3	3	1	1	1	0	2	2	0	0	-1	1	1	1	1	1	1	0	0	0	82	111	120	69	80	113	1653	1.393	1.281	196	188	196	100	106	113
8	12	6	2	2	2	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	129	138	130	-1	-1	-1	261	249	221	2	2	1	6	7	9
5	8	8	2	2	2	1	1	1	0	2	2	0	0	-1	1	1	1	0	0	0	0	0	0	30	27	24	-1	-1	-1	766	810	750	73	76	68	91	90	90
4	5	5	2	2	2	2	2	2	1	2	2	0	1	-1	1	1	1	0	0	0	0	0	0	-1	-1	107	-1	-1	-1	2148	1.814	1.754	122	124	129	89	101	114
4	4	4	3	2	2	0	1	1	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	339	420	257	-1	-1	-1	638	579	534	29	25	22	13	13	15
4	4	4	2	2	2	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	71	144	146	-1	-1	-1	1195	1.057	999	55	55	51	84	97	101
6	9	7	6	6	4	2	2	2	2	3	1	4	4	4	1	1	1	1	1	1	0	0	0	12	13	12	-1	25	14	1079	1.324	1.286	234	237	248	160	171	179
5	6	5	3	3	2	3	3	3	1	4	2	4	5	4	1	1	1	0	0	0	0	0	0	28	43	194	-1	-1	-1	2697	2.471	2.228	257	245	228	190	203	202
3	5	5	2	2	2	0	1	1	0	0	0	0	0	-1	0	1	1	0	0	0	0	0	0	-1	170	13	-1	-1	-1	1519	1.309	1.234	5	5	10	20	29	38
5	7	7	5	4	4	2	2	2	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	286	75	28	-1	-1	-1	2139	1.935	1.714	181	180	179	170	175	181
58	64	44	10	10	11	8	10	8	10	2	1	17	17	15	5	5	5	1	1	1	1	1	1	464	183	120	359	237	93	12005	11.591	10.742	1.058	1.111	1.088	1.231	1.347	1.462
3	2	1	3	4	1	2	0	0	4	3	1	1	1	1	0	0	1	0	0	0	0	0	0	-1	39	118	-1	-1	-1	3739	3.452	3.071	209	204	199	422	437	432
46	42	36	6	5	5	5	4	5	1	0	1	15	17	19	5	5	5	1	1	1	0	0	0	270	260	279	250	255	270	22543	18.462	17.135	2.130	2.288	2.511	1.477	1.607	1.742
12	11	11	3	3	3	0	0	0	2	1	1	4	2	3	1	1	1	0	0	0	0	0	0	234	386	440	-1	-1	-1	2079	1.693	1.562	181	190	190	132	141	156
21	21	21	7	7	7	4	3	3	4	3	4	8	7	8	2	2	2	1	1	1	0	0	0	305	336	361	151	178	175	4035	4.172	3.910	393	417	412	455	461	463
85	78	82	18	20	16	23	25	24	30	33	35	23	31	30	7	7	7	2	2	2	1	1	1	512	458	467	142	186	289	42919	41.001	39.411	2.612	2.720	2.907	2.511	2.681	2.878
9	12	12	8	10	8	7	7	7	2	2	2	11	11	8	2	2	2	1	1	1	0	0	0	76	117	153	169	67	39	9741	7.784	6.778	800	794	777	628	678	720
4	5	5	2	2	2	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	224	230	212	-1	-1	-1	510	394	387	16	13	13	24	25	27
9	10	10	2	2	3	2	2	2	1	1	1	4	5	5	1	1	1	0	0	0	0	0	0	320	23	23	-1	-1	-1	1815	1.564	1.521	95	94	101	128	132	147
9	15	13	5	3	3	3	3	3	2	2	2	2	0	1	2	2	2	1	1	1	0	0	0	135	105	108	59	75	112	5750	6.074	5.934	419	465	488	268	284	289
3	3	2	2	2	2	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	501	452	534	-1	-1	-1	710	710	700	29	29	30	88	83	87
20	30	33	4	6	5	8	5	5	1	0	0	9	9	9	4	4	4	1	1	1	0	1	1	228	215	206	103	165	209	7099	7.301	7.324	594	623	622	949	1.033	1.148
11	11	9	2	2	2	1	1	1	3	0	0	2	2	1	1	1	1	1	1	1	0	0	0	212	348	543	64	60	97	4019	4.424	4.283	337	345	378	289	301	322
4	4	4	3	3	3	1	1	1	2	2	1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	1959	1.732	1.572	157	158	155	120	122	142
5	6	5	5	4	4	4	4	3	2	4	4	1	2	2	1	1	1	0	0	0	0	0	0	234	14	10	-1	-1	-1	1290	1.157	1.007	74	72	75	80	84	90
7	7	6	3	3	3	1	1	1	1	2	1	0	1	1	1	1	1	0	0	0	0	0	0	17	11	5	-1	-1	-1	1145	894	797	76	89	90	98	100	105
