185,031	5.738	31	0,44	87,14	1.993	2,9
794,571	1.150.753	1.448	0,92	98,28	395.983	2,9
79,403	80.282	1.011	1,17	100	25.813	3,1
290,520	49.442	170	0,50	99,38	15.929	3,1
484,199	4.732	10	0,61	81,3	1.650	2,9
1.237,357	12.263	10	0,04	86,43	3.934	3,1
53,261	4.862	91	1,51	95,5	1.444	3,4
595,811	29.987	50	0,05	94,87	10.370	2,9
70,892	2.675	38	0,04	84,19	921	2,9
57,459	4.798	84	1,37	95,44	1.441	3,3
1.640,230	46.247	28	0,02	84,13	14.642	3,2
169,890	19.606	115	1,63	85,66	6.321	3,1
322,878	52.543	163	1,15	97,09	16.286	3,2
484,947	111.787	231	1,51	96,17	37.632	3,0
34,546	387.735	11.224	0,70	100	124.190	3,1
639,248	11.749	18	-0,07	91,7	4.365	2,7
864,225	29.124	34	0,41	82,53	9.049	3,2
191,683	2.529	13	-0,59	74,38	864	2,9
1.065,318	19.929	19	1,49	75,46	6.497	3,1
290,596	116.051	399	0,41	99,2	40.851	2,8
148,393	7.418	50	0,58	92,9	2.515	2,9
197,838	8.592	43	1,10	81,87	2.965	2,9
511,621	18.716	37	0,96	91,53	6.288	3,0
127,803	44.552	349	1,73	94,83	14.783	3,0
190,392	16.805	88	1,15	67,52	5.213	3,2
175,846	16.394	93	1,21	91,27	5.175	3,2
188,732	12.190	65	0,09	93,82	3.949	3,1
168,590	7.970	47	1,77	96,55	2.636	3,0
422,303	17.550	42	0,15	94,89	5.819	3,0
728,648	6.034	8	0,10	74,28	1.975	3,1
182,793	26.682	146	0,82	96,21	8.279	3,2
466,120	16.882	36	0,52	84,17	5.678	3,0
137,579	23.425	170	1,54	89,82	7.659	3,1
246,825	5.740	23	1,34	84,44	1.999	2,9
303,830	4.874	16	-0,38	80,63	1.704	2,9
278,622	3.936	14	0,23	60,01	1.339	2,9
154,665	67.647	437	2,05	92,87	22.175	3,1
441,680	7.059	16	-0,31	74,46	2.663	2,7
323,994	233.703	721	2,20	100	73.196	3,2
311,423	33.633	108	0,87	98,28	10.619	3,2
385,230	8.187	21	1,11	80,31	2.730	3,0
149,330	2.158	14	-0,76	69,83	786	2,7
305,699	79.117	259	0,39	97,67	25.395	3,1
142,879	126.059	882	0,87	100	42.470	3,0
1.407,250	21.691	15	-0,12	60,68	7.520	2,9
753,706	32.048	43	0,46	91,85	10.657	3,0
30,732	399.510	13.000	0,50	100	131.745	3,0
88,133	1.712	19	0,20	80,72	631	2,7
223,749	10.966	49	-0,32	72,92	3.732	2,9
149,729	8.615	58	1,19	97,77	2.923	2,9
632,972	26.305	42	0,88	96,36	8.524	3,1
77,939	2.058	26	-0,26	93,78	755	2,7
205,874	8.516	41	-0,16	91,62	3.017	2,8
487,688	44.545	91	0,43	92,74	15.392	2,9
264,557	12.059	46	-0,23	91,57	4.214	2,9
111,376	9.200	83	1,79	97,75	2.974	3,1
515,258	6.244	12	-0,18	81,87	2.123	2,9
1.654,256	14.990	9	0,34	49,21	4.642	3,2
202,360	16.901	84	1,01	82,94	5.199	3,3
93,980	3.393	36	1,23	93,04	1.157	2,9
83,129	2.408	29	-0,09	87,79	854	2,8
70,398	261.836	3.719	1,26	100	81.231	3,2
155,641	66.470	427	0,83	97,33	20.883	3,2
225,167	3.059	14	0,19	86,4	1.104	2,8
109,941	19.190	175	2,94	75,28	6.339	3,0
389,235	42.405	109	0,17	90,58	14.074	3,0
193,666	4.629	24	1,27	85,53	1.557	3,0
74,144	10.777	145	1,03	79,76	3.412	3,2
264,987	2.658	10	0,00	84,61	870	3,1
296,281	8.132	27	-0,13	86,19	2.902	2,8
573,894	9.514	17	-0,11	64,31	3.200	3,0
429,171	15.534	36	0,20	82,39	5.292	2,9
169,990	5.566	33	0,08	89,13	1.966	2,8
549,797	65.776	120	0,24	96,94	23.742	2,8
100,504	1.622	16	0,54	59,19	566	2,9
29,564	185.584	6.277	1,43	95,51	58.672	3,2
224,711	1.628	7	-1,07	85,63	612	2,7
204,236	2.897	14	-0,52	83,81	1.109	2,6
524,138	12.315	23	-0,59	78,9	3.906	3,2
225,886	2.731	12	-0,51	90,88	967	2,8
605,679	335.564	554	0,75	98,24	111.333	3,0
49,001	168.120	3.431	1,23	99,8	53.065	3,2
132,775	146.129	1.101	1,53	92,13	43.355	3,4
138,681	2.694	19	-0,07	87,45	985	2,7
355,914	6.663	19	-0,74	76,66	2.415	2,8
555,807	42.654	77	-0,15	93,11	14.310	3,0
180,569	4.614	26	1,39	92,8	1.518	3,0
243,766	4.553	19	0,44	87,31	1.515	3,0
494,376	10.671	22	0,00	87,59	3.863	2,8
676,755	10.817	16	0,07	80,35	3.227	3,4
272,800	4.698	17	0,41	76,07	1.562	3,0
277,154	11.576	42	1,19	92,55	3.770	3,1
217,811	5.493	25	0,18	90,19	1.830	3,0
1.258,465	38.619	31	0,47	96,81	13.415	2,9
325,126	20.021	62	1,67	90,27	6.904	2,9
408,292	17.724	43	-0,23	41,59	5.687	3,1
362,183	20.521	57	0,48	97,44	6.754	3,0
569,197	8.428	15	-0,02	81,22	2.990	2,8
641,501	10.685	17	1,00	92,09	3.635	2,9
85,700	1.937	23	-0,24	89	738	2,6
461,746	6.452	14	0,11	89,43	2.132	3,0
955,637	31.696	33	0,51	93,62	10.978	2,9
270,816	28.330	105	1,34	86,05	9.013	3,1
752,636	116.597	155	0,58	95,34	37.901	3,1
567,884	15.395	27	0,84	57,76	4.159	3,7
270,289	38.010	141	1,00	98,29	12.510	3,0
144,794	308.522	2.131	0,86	99,98	97.651	3,2
318,675	1.313.169	4.121	1,05	100	417.846	3,1
413,567	7.297	18	0,68	78,48	2.327	3,1
252,477	5.004	20	0,75	87,89	1.738	2,9
364,252	9.091	25	0,65	93,08	3.121	2,9
65,577	13.616	208	2,76	81,71	4.279	3,2
62,416	218.934	3.508	1,87	100	68.982	3,2
547,393	10.939	20	1,29	88,23	3.601	3,0
321,948	6.320	20	-0,23	82,96	2.181	2,9
401,381	6.731	17	0,87	44,5	1.545	4,4
290,978	33.572	115	1,29	96,45	10.546	3,2
271,912	11.733	43	1,08	93,22	4.147	2,8
228,230	7.274	32	1,15	93,58	2.471	2,9
689,391	57.022	83	1,02	96,62	19.358	2,9
1.058,082	74.875	71	0,73	36,32	24.358	3,1
362,355	7.867	22	0,77	86,44	2.677	2,9
594,974	7.828	13	0,38	91,84	2.657	2,9
97,747	23.897	244	0,33	99,43	7.616	3,1
468,246	29.037	62	0,55	95,15	10.102	2,9
292,953	9.169	31	0,55	83,93	3.107	3,0
1.978,795	29.235	15	0,20	87,26	9.690	3,0
196,567	9.901	50	1,37	100	3.488	2,8
652,641	25.591	39	0,30	93,84	8.858	2,9
346,389	31.988	92	1,86	99,31	11.089	2,9
311,545	232.586	747	2,10	98,99	76.528	3,0
129,367	4.791	37	-0,10	87,41	1.708	2,8
279,606	3.863	14	-0,15	89,67	1.464	2,6
87,119	3.818	44	0,74	89,81	1.313	2,9
209,554	14.247	68	0,61	93,63	4.602	3,1
170,289	32.632	192	2,11	61,71	9.771	3,3
190,010	7.087	37	2,41	89,45	2.269	3,1
136,028	5.011	37	1,70	63,44	1.706	2,9
1.152,059	4.366	4	0,21	62,83	1.357	3,2
466,461	15.360	33	1,20	96,58	5.182	3,0
115,118	22.655	197	1,81	98,21	7.280	3,1
257,612	7.604	30	0,64	91,6	2.556	3,0
214,461	7.460	35	-0,61	70,7	2.225	3,4
1.110,350	17.653	16	-0,17	73,72	5.889	3,0
1.082,782	25.753	24	1,02	78,52	8.134	3,2
502,066	14.618	29	0,06	86,75	5.224	2,8
230,355	3.539	15	1,27	78,75	1.149	3,1
601,711	95.235	158	1,31	99,2	31.880	3,0
183,015	3.186	17	-0,19	54,52	1.029	3,1
150,742	164.559	1.092	1,10	99,17	50.090	3,3
1.789,350	155.410	87	1,07	91,67	48.714	3,2
1.826,258	90.414	50	0,43	89,32	29.616	3,1
82,658	226.211	2.737	1,74	100	71.186	3,2
518,416	70.802	137	0,47	93,47	23.468	3,0
406,478	4.075	10	0,71	50,58	1.316	3,1
996,747	41.120	41	0,38	93,05	14.555	2,8
507,997	14.635	29	0,09	79,83	5.025	2,9
140,023	13.314	95	1,31	96,69	4.339	3,1
301,653	4.748	16	1,25	79,91	1.588	3,0
82,622	355.502	4.303	1,45	100	109.844	3,2
1.003,860	48.633	48	0,21	92,63	16.577	2,9
273,667	16.720	61	1,13	69,29	5.429	3,1
322,276	113.324	352	1,62	86,37	37.459	3,0
979,817	19.779	20	1,33	92,74	6.169	3,2
564,603	16.682	30	1,06	91,87	4.560	3,7
161,118	6.167	38	0,61	85,54	1.933	3,2
138,986	7.591	55	0,09	93,11	2.513	3,0
640,719	165.253	258	1,01	94,69	53.652	3,1
200,816	54.901	273	2,99	91,98	17.712	3,1
704,659	39.827	57	0,42	94,15	13.871	2,9
273,438	6.657	24	0,14	94,61	2.213	3,0
706,602	73.541	104	0,38	97,98	25.149	2,9
464,272	223.207	481	0,80	98,62	72.643	3,1
145,133	6.587	45	2,24	90,37	2.219	3,0
704,189	17.182	24	-0,02	54,45	5.716	3,0
141,391	52.125	369	2,40	98,05	17.093	3,0
368,574	47.204	128	0,06	94,1	17.489	2,7
184,413	5.989	32	1,66	47,87	1.983	3,0
17,449	119.011	6.821	1,37	100	39.797	3,0
501,870	41.436	83	1,40	97,62	13.179	3,1
207,549	28.070	135	2,40	83,9	8.906	3,2
687,103	142.860	208	1,26	97,39	47.425	3,0
141,971	3.145	22	-0,07	85,79	1.058	3,0
374,291	12.418	33	0,79	100	4.381	2,8
415,452	4.313	10	0,56	88,08	1.456	3,0
860,200	35.036	41	0,98	91,94	11.891	2,9
128,183	4.570	36	0,45	95,43	1.519	3,0
56,685	3.166	56	1,81	63,52	1.064	3,0
431,207	397.353	921	1,04	96,77	134.721	2,9
582,565	19.666	34	0,71	84,26	6.319	3,1
812,799	18.878	23	-0,28	64,7	6.207	3,0
522,169	29.862	57	0,56	83,62	9.849	3,0
255,472	4.819	19	-0,07	69,21	1.784	2,7
384,274	27.077	70	1,02	90,27	8.988	3,0
537,675	8.570	16	-0,28	48,81	1.802	4,8
167,067	6.995	42	0,87	93,48	2.150	3,3
402,871	98.284	244	1,00	98,17	32.448	3,0
809,541	64.933	80	0,81	98,16	20.906	3,1
580,711	290.613	500	0,75	97,52	96.247	3,0
48,756	7.456	153	1,54	100	2.629	2,8
570,058	74.120	130	0,54	98,83	25.248	2,9
414,160	85.442	206	0,50	97,46	27.714	3,1
113,940	2.171	19	0,29	84,66	781	2,8
55,133	45.236	820	2,92	97,35	14.837	3,0
314,810	20.701	66	0,59	87,2	6.720	3,1
189,536	2.254	12	0,04	80,83	753	3,0
598,257	13.406	22	2,55	98,15	4.252	3,2
166,576	5.536	33	1,40	93,86	1.828	3,0
155,171	4.400	28	0,16	94,27	1.435	3,1
475,226	2.644	6	-0,38	82,64	959	2,8
224,514	16.736	75	0,42	97,63	5.164	3,2
248,087	7.740	31	0,15	90,12	2.893	2,7
327,567	3.600	11	-0,26	78,5	1.319	2,7
312,282	3.122	10	-0,36	84,82	1.172	2,7
210,149	45.439	216	0,73	80,26	14.710	3,1
320,697	93.418	291	2,10	90,97	28.744	3,3
229,046	9.378	41	0,61	90,84	3.215	2,9
919,519	4.893	5	0,27	44,51	1.327	3,7
533,498	13.473	25	0,15	92,01	4.759	2,8
111,267	2.830	25	1,06	88,69	1.020	2,8
186,544	3.959	21	0,16	84,19	1.405	2,8
1.170,515	227.380	194	0,70	95,51	77.033	3,0
77,827	2.100	27	-0,09	81,48	733	2,9
1.253,564	25.242	20	0,60	86,1	8.305	3,0
524,899	79.171	151	0,45	98,16	26.578	3,0
61,909	447.911	7.235	1,04	100	147.446	3,0
195,151	4.934	25	0,91	85,67	1.777	2,8
228,199	3.775	17	-0,30	71,55	1.329	2,8
