16,2	19,04
17,28	17,85
21	12,69
16,48	19,66
19,03	16,02
20,23	16,24
14,55	24,65
20,63	12,79
21,87	12,62
15,78	21,2
21,12	11,95
18,61	16,38
15,91	21,7
22,94	10,29
13,45	23,24
19,38	15,19
16,72	10,45
22,25	14,05
17,22	14,22
21,91	9,05
16,75	18,86
17,26	15,64
20,22	14,9
17,75	16,56
21,18	13,17
22,48	12,85
19,29	15,01
19,53	13,76
16,24	21,29
23,2	12,49
25,23	8,62
17,29	15,65
20,45	13,93
18,05	15,58
20,28	13,9
20,59	15,14
17,13	15,16
17,98	13,79
17,05	18,97
17,63	19,57
23,08	12,58
23,19	9,72
19,16	14,14
20,61	10,91
22,84	9,63
16,14	19,32
17,97	15,42
20,33	13,69
16,64	16,86
20,52	13,81
20,19	10,71
19,85	14,09
18,14	13,1
6,94	7,16
16,15	17,91
20,81	15,52
21,52	16,24
21,35	13,86
19,05	15,9
16,45	15,57
24,16	12,59
25,66	15,05
18,33	14,88
23,65	8,32
23,58	8,53
20,17	14,34
18,46	15,23
18,6	14,45
18,3	15,54
19,82	13,57
18,98	18,31
25,22	8,49
15,62	17,33
17,68	13,91
22,82	12,32
21,8	11,78
19,72	13,43
21,35	16,04
20,82	11,05
21,66	10,79
26,99	9
17,2	12,13
20,86	14,01
18,19	15,81
22,34	12,1
19,34	14,47
18,96	13,69
18,06	16,88
18,83	14,34
19,43	13,51
20,26	13,81
26,26	11,27
18,14	15,56
18,34	16,66
21,1	13,48
23,35	9,07
20,33	12,94
19,98	14,09
20,79	15,97
18,99	16,05
18,53	16,6
21,6	9,36
18,34	15,45
23,36	7,84
25,22	11,57
17,65	15,59
21,2	13,36
22,17	14,03
18,17	13,75
21,27	10,88
22,28	10,26
21,71	15,66
23,47	14,16
24,55	10,24
18,9	15,57
15,89	20,19
25,99	10,13
23,05	12,79
22,22	11,32
21,19	11,62
21,7	12,42
23,06	9,9
17,98	18,56
18,46	15,12
18,84	17,13
20,19	13,88
16,92	16,34
18,78	13,66
16,84	17,92
21,14	14,14
18,73	12,82
20,05	12,8
20,61	12,37
21,22	14,81
21,9	11,25
18,87	14,53
20,58	12,53
22,03	11,32
21,11	15,64
20,08	12,39
18,43	14,04
20,85	15,01
19,9	14,5
21,19	10,34
15,85	20,95
22,8	9,26
19,99	12,56
20,29	12,85
16,92	16,47
20,18	13,96
22,4	9,34
19,71	15,33
17,63	15,42
22,06	9,17
16,49	20,19
16,68	17,52
23	10,03
21,58	14,09
16,63	20,24
17,33	17,28
16,19	17,76
17,76	18,14
19,55	11,34
19,89	16,94
25,88	13,24
20,85	11,3
16,79	15,45
18,08	16,47
23,96	8,36
22,69	10,9
17,16	17,95
23,16	8,11
17,72	15,69
23,24	10,85
19,57	11,66
20,45	12,99
17,1	17,38
22,4	12,86
19,58	16,03
