1	 1,00 	0,71
2	 0,57 	0,76
3	 0,53 	0,66
4	 0,16 	0,81
5	 0,87 	0,64
6	 0,87 	0,81
7	 0,20 	0,81
8	 1,00 	0,79
9	 0,69 	0,84
10	 0,32 	0,8
11	 0,60 	0,89
12	 0,33 	0,72
13	 0,47 	0,79
14	 0,87 	0,78
15	 0,87 	0,9
16	 0,87 	0,77
17	 0,96 	0,88
18	 0   	0,84
19	 0,92 	0,73
20	 0,72 	0,68
21	 0,87 	0,79
22	 0,87 	0,76
23	 0,20 	0,81
24	 0,69 	0,69
25	 0,50 	0,76
26	 0,60 	0,68
27	 0,30 	0,8
28	 0,60 	0,77
29	 0,47 	0,78
30	 0,86 	0,78
31	 0,80 	0,71
32	 0,87 	0,8
33	 0,87 	0,67
34	 0,87 	0,92
35	 0,53 	0,84
36	 0,68 	0,81
37	 0,83 	0,71
38	 0,60 	0,79
39	 0,20 	0,91
40	 0,86 	0,65
41	 0,60 	0,84
42	 0,82 	0,8
43	 0,73 	0,77
44	 0,60 	0,79
45	 0,84 	0,7
46	 0,60 	0,89
47	 0,78 	0,63
48	 0,80 	0,67
49	 0,47 	0,74
50	 0,87 	0,86
51	 0,60 	0,74
52	 0,73 	0,73
53	 1,00 	0,72
54	 0,87 	0,8
55	 0,87 	0,76
56	 0,52 	0,81
57	 0,86 	0,85
58	 0,73 	0,8
59	 1,00 	0,84
60	 0,33 	0,71
61	 0,48 	0,84
62	 0,87 	0,73
63	 0,73 	0,69
64	 0,73 	0,84
65	 0,89 	0,71
66	 0,69 	0,71
67	 0,67 	0,73
68	 0,63 	0,69
69	 0,69 	0,74
70	 0,55 	0,72
71	 0,87 	0,74
72	 0,67 	0,59
73	 0,33 	0,8
74	 0,84 	0,75
75	 0,73 	0,78
76	 0,03 	0,7
77	 0,75 	0,75
78	 0,60 	0,8
79	 0,76 	0,87
80	 0,93 	0,84
81	 0,70 	0,89
82	 0,20 	0
83	 0,87 	0,82
84	 0,81 	0,77
85	 0,87 	0,87
86	 0,92 	0,78
87	 0,67 	0,71
88	 0,87 	0,72
89	 0,47 	0,84
90	 0,85 	0,81
91	 0,87 	0,73
92	 0,20 	0,74
93	 1,00 	0,72
94	 0,87 	0,83
95	 0,96 	0,84
96	 0,60 	0,82
97	 0,80 	0,65
98	 0,77 	0,76
99	 0,87 	0,83
100	 0,44 	0,85
101	 0,60 	0,89
102	 0,27 	0,9
103	 0,33 	0,77
104	 0,73 	0,76
105	 0,87 	0,74
106	 1,00 	0,74
107	 1,00 	0,8
108	 0,68 	0,79
109	 0,73 	0,71
110	 0,78 	0,69
111	 0,87 	0,64
112	 1,00 	0,77
113	 0,77 	0,71
114	 0,57 	0,84
115	 1,00 	0,66
116	 0,99 	0,75
117	 0,86 	0,85
118	 0,87 	0,88
119	 0,81 	0,82
120	 0,78 	0,79
121	 0,93 	0,8
122	 0,41 	0,63
123	 1,00 	0,76
124	 0,94 	0,83
125	 0,60 	0,83
126	 0,77 	0,87
127	 0,78 	0,82
128	 0,76 	0,86
129	 0,87 	0,75
130	 0,68 	0,78
131	 0,73 	0,6
132	 0,33 	0,69
133	 0,87 	0,78
134	 0,89 	0,72
135	 0,87 	0,88
136	 0,60 	0,7
137	 0,87 	0,79
138	 0,60 	0,83
139	 0,70 	0,72
140	 0,70 	0,86
141	 0,86 	0,88
142	 0,87 	0,86
143	 0,57 	0,77
144	 0,85 	0,79
145	 0,60 	0
146	 0,80 	0,65
147	 1,00 	0,74
148	 1,00 	0,84
149	 0,28 	0,89
150	 0,65 	0,68
151	 0,27 	0,63
152	 0,67 	0,82
153	 0,86 	0,84
154	 0,90 	0,69
155	 0,77 	0,8
156	 0,99 	0,74
157	 0,56 	0,78
158	 0,54 	0,77
159	 0,47 	0,8
160	 0,20 	0,77
161	 0,87 	0,77
162	 0,73 	0,78
163	 0,78 	0,76
164	 1,00 	0,83
165	 0,75 	0,72
166	 0,87 	0,74
167	 0,87 	0,9
168	 0,73 	0,77
169	 0,67 	0,83
170	 0,64 	0,8
171	 0,60 	0,88
172	 0,70 	0,79
173	 0,80 	0,78
174	 0,84 	0,69
175	 0,60 	0,81
176	 0,87 	0,74
177	 0,60 	0,78
178	 0,33 	0,7
179	 1,00 	0,74
180	 0,80 	0,84
181	 0,67 	0,82
182	 0,15 	0,78
183	 0,80 	0,73
184	 0,44 	0
185	 0,87 	0,85
186	 0,87 	0,83
187	 0,60 	0,77
188	 0,76 	0,73
189	 0,57 	0,81
190	 0,90 	0,83
191	 0,60 	0,81
192	 0,05 	0,78
193	 0,93 	0,75
194	 0,86 	0,68
195	 0,40 	0,83
196	 0,87 	0,72
197	 0,82 	0,71
198	 0,60 	0,84
199	 0,61 	0,71
200	 0,87 	0,83
201	 0,69 	0,79
202	 1,00 	0,83
203	 0,87 	0,73
204	 0,87 	0,76
205	 0,87 	0,83
206	 0,83 	0,79
207	 0,60 	0,93
208	 0,86 	0,78
209	 0,87 	0,77
210	 0,99 	0,69
211	 0,63 	0,67
212	 1,00 	0,76
213	 0,87 	0,76
214	 0,93 	0,59
215	 0,70 	0,65
216	 0,57 	0
217	 0,60 	0,84
218	 0,87 	0,77
219	 0,23 	0,64
220	 0,86 	0,71
221	 0,87 	0,75
222	 0,77 	0,81
223	 0,87 	0,87
224	 0,33 	0,72
225	 0,96 	0,77
226	 0,85 	0,85
227	 0,78 	0,78
228	 0,13 	0,83
229	 1,00 	0,77
230	 0,60 	0,76
231	 0,87 	0,81
232	 1,00 	0,67
233	 0,87 	0
234	 0,87 	0,76
235	 0,83 	0,78
236	 0,60 	0,89
237	 0,96 	0,71
238	 0,79 	0,84
239	 0,27 	0
240	 1,00 	0,84
241	 0,87 	0,8
242	 0,73 	0,88
243	 0,60 	0,85
244	 0,80 	0,73
245	 1,00 	0,8
246	 0,60 	0,95
247	 0,58 	0,83
248	 0,87 	0,73
249	 0,87 	0,72
250	 0,99 	0,52
251	 0,87 	0,8
252	 0,66 	0,68
253	 1,00 	0,81
254	 0,57 	0,73
255	 0,50 	0,73
256	 0,87 	0,96
257	 0,60 	0,72
258	 0,61 	0,72
259	 0,79 	0,82
260	 0,51 	0,66
261	 0,87 	0,73
262	 0,60 	0,88
263	 1,00 	0,71
264	 0,84 	0,81
265	 0,58 	0,77
266	 0,87 	0,81
267	 0,49 	0,73
268	 0,93 	0,84
269	 0,80 	0,69
270	 0,73 	0,61
271	 0,33 	0,78
272	 1,00 	0,74
