56.429	849,53	68,34	0,71	172	11,50	18,46	15,23	17.740	88,44	99,28
343.695	667,68	528,18	0,65	352	13,76	18,60	14,45	109.875	98,33	97,79
75.033	683,3	109,42	0,09	-428	11,10	18,30	15,54	23.709	95,72	99,69
2.672	301,4	9,24	1,04	10	13,78	19,82	13,57	862	93,54	100
10.775	244,2	44,11	0,01	-52	11,60	18,98	18,31	3.493	90,46	99,81
47.462	490,15	110,00	3,24	1.120	17,23	25,22	8,49	14.536	98,69	30,81
7.039	157,9	46,74	1,19	67	10,28	15,62	17,33	2.392	93,04	98,82
108.599	530,92	214,87	1,24	740	12,69	17,68	13,91	35.632	97,17	99,27
28.540	317,41	94,71	1,31	120	13,28	22,82	12,32	8.400	86,40	70,34
13.636	690,76	20,30	0,70	-18	13,72	21,80	11,78	4.149	90,46	99,46
10.846	363,93	31,29	1,22	78	14,31	19,72	13,43	3.311	92,70	96,76
9.597	653,54	15,63	1,57	153	12,33	21,35	16,04	3.164	63,76	94,23
48.177	248,95	209,59	2,01	973	15,64	20,82	11,05	14.739	94,07	86,31
19.644	108,37	199,35	2,41	466	15,07	21,66	10,79	6.118	89,43	84,31
3.568	133,58	27,52	0,75	-22	17,54	26,99	9,00	991	70,84	94,21
805	118,45	6,82	0,09	-3	11,15	17,20	12,13	239	77,85	100
4.263	122,11	36,59	1,18	18	15,40	20,86	14,01	1.256	90,33	98,68
14.517	552,26	26,95	0,62	59	11,02	18,19	15,81	4.774	92,04	96,17
2.290	347,99	6,93	1,32	17	13,86	22,34	12,10	701	90,05	98,86
127.156	1.482,64	89,89	1,18	988	12,67	19,34	14,47	41.102	96,47	95,65
146.548	512,62	300,91	1,29	1.057	13,40	18,96	13,69	44.752	97,68	81,24
5.015	195,33	26,85	1,12	36	12,53	18,06	16,88	1.588	89,97	97,92
2.571	105,4	25,20	0,82	9	11,01	18,83	14,34	811	83,66	98,10
21.070	278,46	80,26	1,48	241	12,99	19,43	13,51	6.385	98,17	97,53
21.556	1.101,38	20,47	1,12	111	13,10	20,26	13,81	6.738	86,49	97,42
18.555	1.195,91	15,85	0,54	-162	15,59	26,26	11,27	5.512	81,97	92,54
15.404	326,76	48,72	0,83	78	13,62	18,14	15,56	5.190	95,03	93,29
4.050	266,42	15,61	0,67	8	12,58	18,34	16,66	1.373	82,52	99,91
4.367	239,91	18,05	0,21	-62	15,44	21,10	13,48	1.380	86,84	98,42
41.525	260,23	171,84	1,87	351	15,51	23,35	9,07	11.909	86,92	82,02
84.676	369,03	237,38	0,85	111	14,64	20,33	12,94	24.834	85,56	92,15
30.066	287,99	107,60	0,76	63	13,85	19,98	14,09	9.068	82,41	93,65
18.537	469,98	39,69	0,16	-121	9,40	20,79	15,97	5.691	69,66	91,60
16.600	920,1	18,34	0,41	-11	14,22	18,99	16,05	5.350	88,25	98,65
4.072	253	16,18	0,11	-25	12,73	18,53	16,60	1.390	83,13	84,13
86.389	549,89	9,58	1,15	643	14,40	18,34	15,45	1.622	38,30	94,16
5.031	96	958,81	1,62	56	7,68	21,60	9,36	25.411	97,88	86,50
63.989	131,33	529,57	2,10	509	17,38	23,36	7,84	19.269	98,46	71,71
28.379	454,44	62,67	0,09	-499	16,31	25,22	11,57	8.474	73,49	74,47
9.763	176,9	56,07	0,40	-2	10,63	17,65	15,59	3.105	94,17	99,45
23.348	660,09	36,81	1,00	48	14,18	21,20	13,36	7.209	89,14	97,33
5.564	185,03	30,62	0,45	-12	12,95	22,17	14,03	1.808	86,09	87,75
1.079.140	794,43	1.413,90	1,01	2.812	13,93	18,17	13,75	348.268	98,28	87,02
73.981	79,4	978,20	1,22	298	15,57	21,27	10,88	21.958	100	65,11
47.758	290,06	168,05	0,51	-201	14,89	22,28	10,26	14.299	99,38	77,98
4.536	483,98	9,60	0,61	2	15,37	21,71	15,66	1.490	79,84	97,52
12.227	1.239,38	9,86	0,02	-136	14,08	23,47	14,16	3.683	86,02	68,93
4.378	53,26	87,50	1,57	31	20,49	24,55	10,24	1.205	94,57	79,59
29.879	596,21	50,23	0,06	-126	11,56	18,90	15,57	9.621	94,58	97,92
2.668	70,31	38,03	0,06	-4	12,35	15,89	20,19	868	82,76	99,58
4.361	57,23	80,55	1,40	33	14,52	25,99	10,13	1.218	95,29	89,79
